version,release_date,release_notes,api_url,supported
1.1.1,2025-1-1,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
1.1.0,2024-12-30,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
1.0.4,2024-12-29,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
1.0.3,2024-12-24,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
1.0.2,2024-12-22,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
1.0.1,2024-12-20,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
1.0.0,2024-12-19,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
0.2,2024-12-18,Stable release,https://blaisebarrette.pythonanywhere.com/generate-qr,1
